Respondent ID,Division,Which of the following best describes your position level?,Which generation are you apart of?,Please select the gender in which you identify.,Which duration range best aligns with your tenure at your company?,Which of the following best describes your employment type?,Question - Subquestion,Answer,Total Respondants,Same Answers
9652438783,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 23 - Response,Answer 6,120,21
2102054017,Finance,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 23 - Response,Answer 6,120,21
6796580906,Finance,Manager,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 23 - Response,Answer 6,120,21
1264208927,Port Security & Emergency Operations,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 23 - Response,Answer 6,120,21
5953471955,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 23 - Response,Answer 6,120,21
2658722536,Finance,Staff,,,10+ years,Full time Employee,Question 23 - Response,Answer 7,120,12
5535865599,Infrastructure,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 23 - Response,Answer 7,120,12
8646387163,Information Technology,Manager,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 23 - Response,Answer 7,120,12
2206081204,People,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 23 - Response,Answer 7,120,12
5081486733,Port Security & Emergency Operations,Manager,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 23 - Response,Answer 7,120,12
5386015734,Port Operations,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 23 - Response,Answer 7,120,12
2062616124,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 23 - Response,Answer 7,120,12
8585347438,Infrastructure,Manager,Prefer not to answer,Male,5-10 years,Full time Employee,Question 23 - Response,Answer 7,120,12
5350663671,Information Technology,Department Lead,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 23 - Response,Answer 7,120,12
6909546929,Finance,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 23 - Response,Answer 7,120,12
1220878407,Executive,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 23 - Response,Answer 7,120,12
4910729713,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 23 - Response,Answer 7,120,12
7089369660,Finance,Staff,Baby Boomer (born between 1946-1964),,10+ years,Full time Employee,Question 23 - Response,Answer 8,120,9
4136037887,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 23 - Response,Answer 8,120,9
8531180699,People,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 23 - Response,Answer 8,120,9
7276390477,Information Technology,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 23 - Response,Answer 8,120,9
8087395217,Infrastructure,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 23 - Response,Answer 8,120,9
9983361274,Information Technology,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 23 - Response,Answer 8,120,9
3550987529,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 23 - Response,Answer 8,120,9
1636734067,Information Technology,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 23 - Response,Answer 8,120,9
9597476932,Infrastructure,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 23 - Response,Answer 8,120,9
4044163394,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
9860597462,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
9051604151,Commercial,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
7178840935,People,Department Lead,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
2899153341,Executive,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
5081486733,Port Security & Emergency Operations,Manager,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
4211032639,Infrastructure,Staff,Baby Boomer (born between 1946-1964),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
5585138853,Executive,Manager,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
3860289517,Government & Public Relations,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
9597476932,Infrastructure,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
1368436554,Infrastructure,Manager,Millennial (born between 1981-2000),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
2850296334,Infrastructure,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
2841747833,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 1,111,13
3555213031,Legal,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
9945822370,Finance,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
1892199000,Infrastructure,Department Lead,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
8708081021,Port Security & Emergency Operations,Department Lead,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
6776579131,Commercial,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
2375491161,Information Technology,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
6796580906,Finance,Manager,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
6903105973,Finance,Manager,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
7963965247,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 2,111,9
5535865599,Infrastructure,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
9961006444,Executive,Staff,Prefer not to answer,Prefer not to answer,0-2 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
3968415666,Legal,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
4625088666,Finance,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
7149169711,People,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
8250575077,Finance,Department Lead,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
6225804357,Rather not say,Manager,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
3244391841,People,Manager,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
4008763646,Infrastructure,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
1859209548,Infrastructure,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
2781168270,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
6285007368,People,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
4341029891,Finance,Staff,Prefer not to answer,Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
9298970467,Information Technology,Department Lead,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
1962504465,Information Technology,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
3206389468,Commercial,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
6912636653,Finance,Manager,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
4304756587,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
9625886165,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
5157705612,Finance,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 3,111,20
2855503402,Finance,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
9526771290,Port Operations,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
5794920197,Legal,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
1411900712,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
8748263039,Infrastructure,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
7876887860,Internal Audit,Manager,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
1485638866,Infrastructure,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
9137601822,Finance,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
9735550076,People,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
8253262223,People,Department Lead,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 4,111,10
3399511781,Infrastructure,Staff,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
2455127238,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
7089369660,Finance,Staff,Baby Boomer (born between 1946-1964),,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
6904821010,Construction ,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
5875585727,Information Technology,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
6285875694,Commercial,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
9270992319,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
3044612158,Finance,Staff,Baby Boomer (born between 1946-1964),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
4075412109,Finance,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
2273018449,Finance,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
4870706994,Commercial,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
5297870739,Commercial,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
8311558071,People,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
2243120133,People,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
5633495172,Infrastructure,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
6478560213,Information Technology,Staff,Prefer not to answer,Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
3530464299,Legal,Department Lead,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
9351204267,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
3933988341,People,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
6638341389,Infrastructure,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 5,111,20
7852677398,People,Manager,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
7819918439,People,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
5078285109,Finance,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
3550987529,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
1636734067,Information Technology,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
5202048947,People,Staff,Generation X (born between 1965-1980),Prefer not to answer,3-5 years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
7447366993,Information Technology,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
4910729713,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
2628194343,Executive,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
7325851635,Infrastructure,Manager,Millennial (born between 1981-2000),Prefer not to answer,3-5 years,Full time Employee,Question 24 - Response 1,Answer 6,111,10
1905266879,Finance,Staff,Prefer not to answer,Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
4136037887,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
8546027678,Finance,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
3120678959,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
9489935616,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
1627698070,Port Operations,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
3868607625,Legal,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
5488107363,People,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
8585347438,Infrastructure,Manager,Prefer not to answer,Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
7133066581,Information Technology,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
4295285752,Infrastructure,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
2065485156,Port Security & Emergency Operations,Chief / Executive,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
8008971893,Executive,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
9652438783,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
1914548336,Finance,Department Lead,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
5282809243,Finance,Staff,Generation Z (born 2001 or later),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
3370365802,Port Security & Emergency Operations,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
7940065082,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 7,111,18
1754220060,Finance,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
6573346680,Commercial,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
1582292985,People,Chief / Executive,Millennial (born between 1981-2000),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
2373830201,Infrastructure,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
4947111306,People,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
5157551249,Information Technology,Staff,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
6665212340,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
9328885416,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
6270834102,Finance,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
1220878407,Executive,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
1941311372,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 24 - Response 1,Answer 8,111,11
9011744859,Infrastructure,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
2888589302,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
3618961108,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
4870706994,Commercial,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
2007145908,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
5078285109,Finance,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
6588311032,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
6776579131,Commercial,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
4341029891,Finance,Staff,Prefer not to answer,Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 1,110,9
4044163394,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
5850350235,Infrastructure,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
6285875694,Commercial,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
5794920197,Legal,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
3968415666,Legal,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
5585138853,Executive,Manager,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
2373830201,Infrastructure,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
3564004995,Infrastructure,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
4947111306,People,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
2014555149,Information Technology,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
7331440341,Information Technology,Staff,Millennial (born between 1981-2000),Prefer not to answer,5-10 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
8748263039,Infrastructure,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
6478560213,Information Technology,Staff,Prefer not to answer,Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
3206389468,Commercial,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
9351204267,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
4910729713,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
8453428178,Commercial,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
5559071396,Port Security & Emergency Operations,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 2,110,18
3399511781,Infrastructure,Staff,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
8546027678,Finance,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
2273018449,Finance,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
5177954332,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
1859209548,Infrastructure,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
9652438783,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
2628194343,Executive,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
8569413026,Infrastructure,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 3,110,8
9526771290,Port Operations,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
4166850362,Infrastructure,Staff,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
5382550855,Finance,Department Lead,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
6225804357,Rather not say,Manager,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
4008763646,Infrastructure,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
2375491161,Information Technology,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
3370365802,Port Security & Emergency Operations,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 4,110,7
5535865599,Infrastructure,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
2855503402,Finance,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
9051604151,Commercial,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
8531180699,People,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
3087114007,Information Technology,Staff,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
1587370284,Finance,Chief / Executive,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
3040325972,Finance,Staff,,Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
4075412109,Finance,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
9983361274,Information Technology,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
6014941727,Commercial,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
9323454815,Finance,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
2243120133,People,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
2062616124,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
3244391841,People,Manager,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
9462494279,Commercial,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
6285007368,People,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
1914548336,Finance,Department Lead,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
9858203307,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
8630148625,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
7940065082,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 24 - Response 2,Answer 5,110,20
8035211358,Commercial,Manager,Prefer not to answer,Prefer not to answer,5-10 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
1948472863,People,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
2603687810,Infrastructure,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
7481772195,Information Technology,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
9489935616,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
5081486733,Port Security & Emergency Operations,Manager,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
2932152777,Finance,,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
1962504465,Information Technology,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
6912636653,Finance,Manager,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
8046048988,Commercial,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
1264208927,Port Security & Emergency Operations,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
6903105973,Finance,Manager,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 24 - Response 2,Answer 6,110,12
7901328134,Information Technology,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 24 - Response 2,Answer 7,110,20
